Designator,Mid X,Mid Y,Rotation,Layer
C1,319.0025,-108.585,180.0,top
C2,319.0025,-103.505,180.0,top
C3,319.0025,-98.425,180.0,top
C4,319.0025,-93.345,180.0,top
C5,319.0025,-88.265,180.0,top
D0,56.515,-93.345,90.0,bottom
D1,56.515,-97.79,-90.0,bottom
D10,250.825,-93.345,90.0,bottom
D11,269.875,-93.345,90.0,bottom
D12,288.925,-93.345,90.0,bottom
D13,307.975,-93.345,90.0,bottom
D14,334.645,-93.345,90.0,bottom
D15,353.695,-93.345,90.0,bottom
D16,369.57,-93.345,90.0,bottom
D17,56.515,-112.395,90.0,bottom
D18,56.515,-117.865,-90.0,bottom
D19,98.425,-112.395,90.0,bottom
D2,98.425,-93.345,90.0,bottom
D20,117.475,-112.395,90.0,bottom
D21,136.525,-112.395,90.0,bottom
D22,155.575,-112.395,90.0,bottom
D23,174.625,-112.395,90.0,bottom
D24,193.675,-112.395,90.0,bottom
D25,212.725,-112.395,90.0,bottom
D26,231.775,-112.395,90.0,bottom
D27,250.825,-112.395,90.0,bottom
D28,269.875,-112.395,90.0,bottom
D29,288.925,-112.395,90.0,bottom
D3,117.475,-93.345,90.0,bottom
D30,307.975,-112.395,90.0,bottom
D31,334.645,-112.395,90.0,bottom
D32,353.695,-112.395,90.0,bottom
D33,372.745,-112.395,90.0,bottom
D34,56.515,-131.445,90.0,bottom
D35,56.515,-136.135,-90.0,bottom
D36,98.425,-131.445,90.0,bottom
D37,117.475,-131.445,90.0,bottom
D38,136.525,-131.445,90.0,bottom
D39,155.575,-131.445,90.0,bottom
D4,136.525,-93.345,90.0,bottom
D40,174.625,-131.445,90.0,bottom
D41,193.675,-131.445,90.0,bottom
D42,212.725,-131.445,90.0,bottom
D43,231.775,-131.445,90.0,bottom
D44,250.825,-131.445,90.0,bottom
D45,269.875,-131.445,90.0,bottom
D46,288.925,-131.445,90.0,bottom
D47,334.645,-131.445,90.0,bottom
D48,353.695,-131.445,90.0,bottom
D49,372.745,-131.445,90.0,bottom
D5,155.575,-93.345,90.0,bottom
D50,311.785,-135.255,90.0,bottom
D51,56.515,-150.495,90.0,bottom
D52,81.915,-150.495,90.0,bottom
D53,105.41,-150.495,90.0,bottom
D54,129.54,-150.495,90.0,bottom
D55,153.035,-150.495,90.0,bottom
D56,184.15,-150.495,90.0,bottom
D57,215.265,-150.495,90.0,bottom
D58,238.76,-150.495,90.0,bottom
D59,262.89,-150.495,90.0,bottom
D6,174.625,-93.345,90.0,bottom
D60,353.695,-150.495,90.0,bottom
D61,372.745,-150.495,90.0,bottom
D62,292.735,-154.305,90.0,bottom
D63,311.785,-154.305,90.0,bottom
D64,330.835,-154.305,90.0,bottom
D7,193.675,-93.345,90.0,bottom
D8,212.725,-93.345,90.0,bottom
D9,231.775,-93.345,90.0,bottom
D_RGB1,275.065,-139.78,-90.0,bottom
D_RGB10,123.19,-83.82,-90.0,bottom
D_RGB11,109.22,-132.08,-90.0,bottom
D_RGB12,180.34,-107.95,-90.0,bottom
D_RGB13,46.99,-114.3,-90.0,bottom
D_RGB2,66.04,-151.13,90.0,bottom
D_RGB3,138.43,-151.13,-90.0,bottom
D_RGB4,223.52,-151.13,90.0,bottom
D_RGB5,301.625,-154.94,90.0,bottom
D_RGB6,360.68,-151.13,90.0,bottom
D_RGB7,375.92,-97.79,180.0,bottom
D_RGB8,294.64,-83.82,-90.0,bottom
D_RGB9,200.66,-83.82,-90.0,bottom
K0,53.34,-88.9,0.0,top
K1,76.2,-88.9,0.0,top
K10,247.65,-88.9,0.0,top
K11,266.7,-88.9,0.0,top
K12,285.75,-88.9,0.0,top
K13,304.8,-88.9,0.0,top
K14,331.47,-88.9,0.0,top
K15,350.52,-88.9,0.0,top
K16,369.57,-88.9,0.0,top
K17,53.34,-107.95,0.0,top
K18,76.2,-107.95,0.0,top
K19,95.25,-107.95,0.0,top
K2,95.25,-88.9,0.0,top
K20,114.3,-107.95,0.0,top
K21,133.35,-107.95,0.0,top
K22,152.4,-107.95,0.0,top
K23,171.45,-107.95,0.0,top
K24,190.5,-107.95,0.0,top
K25,209.55,-107.95,0.0,top
K26,228.6,-107.95,0.0,top
K27,247.65,-107.95,0.0,top
K28,266.7,-107.95,0.0,top
K29,285.75,-107.95,0.0,top
K3,114.3,-88.9,0.0,top
K30,304.8,-107.95,0.0,top
K31,331.47,-107.95,0.0,top
K32,350.52,-107.95,0.0,top
K33,369.57,-107.95,0.0,top
K34,53.34,-127.0,0.0,top
K35,76.2,-127.0,0.0,top
K36,95.25,-127.0,0.0,top
K37,114.3,-127.0,0.0,top
K38,133.35,-127.0,0.0,top
K39,152.4,-127.0,0.0,top
K4,133.35,-88.9,0.0,top
K40,171.45,-127.0,0.0,top
K41,190.5,-127.0,0.0,top
K42,209.55,-127.0,0.0,top
K43,228.6,-127.0,0.0,top
K44,247.65,-127.0,0.0,top
K45,266.7,-127.0,0.0,top
K46,285.75,-127.0,0.0,top
K47,331.47,-127.0,0.0,top
K48,350.52,-127.0,0.0,top
K49,369.57,-127.0,0.0,top
K5,152.4,-88.9,0.0,top
K50,308.61,-130.81,0.0,top
K51,53.34,-146.05,0.0,top
K52,78.58125,-146.05,0.0,top
K53,102.39375,-146.05,0.0,top
K54,126.20625,-146.05,0.0,top
K55,150.01875,-146.05,0.0,top
K56,180.975,-146.05,0.0,top
K57,211.93125,-146.05,0.0,top
K58,235.74375,-146.05,0.0,top
K59,259.55625,-146.05,0.0,top
K6,171.45,-88.9,0.0,top
K60,350.52,-146.05,0.0,top
K61,369.57,-146.05,0.0,top
K62,289.56,-149.86,0.0,top
K63,308.61,-149.86,0.0,top
K64,327.66,-149.86,0.0,top
K7,190.5,-88.9,0.0,top
K8,209.55,-88.9,0.0,top
K9,228.6,-88.9,0.0,top
U1,76.2,-107.95,180.0,bottom
